route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
68,78,"HUMANITE - GARE DU MIDI",,3,,A67CB0,FFFFFF
69,79,"KRAAINEM - SCHUMAN",,3,,306196,FFFFFF
56,80,"PORTE DE NAMUR - HAREN",,3,,4C8B33,FFFFFF
39,81,"MARIUS RENARD - MONTGOMERY",,0,,4C8B33,FFFFFF
11,82,"GARE DE BERCHEM - DROGENBOS",,0,,91BEE7,000000
70,83,"GARE DE BERCHEM - VAL MARIA",,3,,B4BD10,000000
71,86,"MACHTENS - BOCKSTAEL",,3,,306196,FFFFFF
23,87,"SIMONIS - BEEKKANT",,3,,4C8B33,FFFFFF
72,88,"DE BROUCKERE - UZ-VUB",,3,,A12944,FFFFFF
65,89,"WESTLAND SHOPPING - GARE CENTRALE",,3,,B4BD10,000000
73,92,"SCHAERBEEK GARE - FORT-JACO",,0,,E43C2E,FFFFFF
9,93,"STADE - LEGRAND",,0,,ED7807,FFFFFF
74,95,"GRAND-PLACE - WIENER",,3,,306196,FFFFFF
75,97,"LOUISE - DIEWEG",,0,,A12944,FFFFFF
91,M6,"ROI BAUDOUIN - ELISABETH",,3,,0066A3,FFFFFF
89,T9,"GROOT-BIJGAARDEN - ROI BAUDOUIN",,3,,C44F97,FFFFFF
88,T44,"MONTGOMERY - TERVUREN STATION",,3,,F3C300,000000
90,T92,"SCHAERBEEK GARE - FORT-JACO",,3,,E43C2E,FFFFFF
76,N04,"GARE CENTRALE - CIMETIERE DE BRUXELLES",,3,,C44F97,FFFFFF
77,N05,"GARE CENTRALE - KRAAINEM",,3,,A67CB0,FFFFFF
78,N06,"GARE CENTRALE - MUSEE DU TRAM",,3,,169FDB,FFFFFF
80,N08,"GARE CENTRALE - WIENER",,3,,91BEE7,000000
79,N09,"GARE CENTRALE - HERRMANN-DEBROUX",,3,,C44F97,FFFFFF
81,N10,"GARE CENTRALE - FORT-JACO",,3,,C1D66B,000000
83,N11,"GARE CENTRALE - HOMBORCH",,3,,9B6018,FFFFFF
82,N12,"GARE CENTRALE - STALLE P",,3,,ED7807,FFFFFF
84,N13,"GARE CENTRALE - WESTLAND SHOPPING",,3,,A12944,FFFFFF
85,N16,"GARE CENTRALE - GARE DE BERCHEM",,3,,74C095,FFFFFF
86,N18,"GARE CENTRALE - HEYSEL",,3,,23A845,FFFFFF
87,NAV,"CERIA - FOREST NATIONAL",,3,,F3C300,000000
